price,bedrooms,bathrooms,surface,floors,waterfront,view,condition,grade,zipcode,price_per_sqft
450000.0,3,1.75,1250,1.0,0,0,4,7,98115,360.0
1350000.0,3,2.5,2753,1.0,1,2,5,9,98070,490.37413730475845
228000.0,3,1.0,1190,1.0,0,0,3,7,98148,191.5966386554622
345000.0,5,2.5,3150,1.0,0,0,4,8,98056,109.52380952380952
600000.0,3,1.75,1410,1.0,0,0,4,7,98117,425.531914893617
585000.0,2,1.75,1980,1.0,0,0,3,7,98117,295.45454545454544
920000.0,5,2.25,2730,1.5,0,0,3,8,98105,336.996336996337
885000.0,4,2.5,2830,2.0,0,0,3,9,98105,312.7208480565371
292500.0,4,2.5,2250,2.0,0,0,3,7,98042,130.0
301000.0,3,2.5,2420,2.0,0,0,3,8,98042,124.3801652892562
951000.0,5,3.25,3250,2.0,0,4,4,8,98008,292.61538461538464
430000.0,4,3.0,1850,2.0,0,0,3,8,98059,232.43243243243242
650000.0,3,2.25,2150,1.0,0,3,4,8,98166,302.3255813953488
289000.0,3,1.75,1260,1.0,0,0,3,7,98148,229.36507936507937
505000.0,3,1.75,2519,2.0,0,0,5,8,98166,200.47637951568083
549000.0,3,1.75,1540,3.0,0,0,3,8,98115,356.4935064935065
425000.0,3,2.25,1660,1.0,0,0,3,7,98122,256.0240963855422
317625.0,3,2.75,2770,1.5,0,0,5,7,98144,114.66606498194946
975000.0,4,2.5,2720,2.0,0,0,3,10,98004,358.45588235294116
287000.0,4,2.5,2240,2.0,0,0,3,7,98001,128.125
204000.0,3,1.0,1000,1.0,0,0,4,7,98042,204.0
1325000.0,5,2.25,3200,1.0,0,0,3,8,98004,414.0625
1040000.0,5,3.25,4770,1.0,0,0,4,11,98005,218.02935010482182
325000.0,3,2.0,1260,1.0,0,0,4,7,98034,257.93650793650795
571000.0,4,2.0,2750,1.5,0,0,5,7,98125,207.63636363636363
360000.0,4,2.5,2380,2.0,0,0,3,8,98038,151.26050420168067
349000.0,3,1.75,1790,1.0,0,0,5,7,98042,194.97206703910615
832500.0,4,4.0,3430,2.0,0,0,4,10,98075,242.71137026239066
380000.0,4,1.75,1760,1.0,0,0,3,7,98008,215.9090909090909
480000.0,3,1.0,1040,1.0,0,0,3,7,98116,461.53846153846155
410000.0,3,1.0,1410,1.0,0,0,4,7,98133,290.78014184397165
720000.0,4,2.5,3450,2.0,0,0,3,10,98010,208.69565217391303
390000.0,3,2.5,2350,2.0,0,0,3,8,98038,165.95744680851064
360000.0,4,2.5,1900,2.0,0,0,3,7,98038,189.47368421052633
355000.0,2,1.0,2020,1.0,0,0,3,7,98118,175.74257425742573
356000.0,3,1.5,1680,1.0,0,0,3,8,98059,211.9047619047619
315000.0,3,1.0,960,1.0,0,0,3,6,98125,328.125
940000.0,3,1.5,2140,2.0,0,0,3,9,98119,439.25233644859816
305000.0,5,2.25,2660,1.5,0,0,5,7,98092,114.66165413533835
461000.0,3,3.25,2770,2.0,0,0,3,9,98056,166.4259927797834
215000.0,2,2.25,1610,2.0,0,0,4,7,98056,133.54037267080744
335000.0,2,1.75,1030,2.0,0,0,3,7,98136,325.24271844660194
243500.0,4,2.5,1980,2.0,0,0,3,7,98023,122.97979797979798
1099880.0,5,2.75,3520,2.0,0,0,4,10,98199,312.46590909090907
153000.0,3,1.0,1200,1.0,0,0,3,7,98023,127.5
430000.0,3,1.5,1580,1.0,0,0,3,8,98117,272.1518987341772
700000.0,3,1.5,1580,1.0,0,0,3,8,98117,443.0379746835443
905000.0,4,2.5,3300,1.0,0,0,3,7,98040,274.24242424242425
247500.0,3,1.75,1960,1.0,0,0,3,7,98032,126.27551020408163
199000.0,4,1.5,1160,1.0,0,0,4,7,98023,171.55172413793105
314000.0,3,1.75,1810,1.0,0,0,5,7,98038,173.48066298342542
437500.0,3,2.5,2320,2.0,0,2,3,9,98045,188.57758620689654
850830.0,3,2.5,2070,1.5,0,0,5,9,98102,411.0289855072464
555000.0,3,2.0,1980,1.5,0,0,4,7,98117,280.3030303030303
699950.0,3,2.25,2190,2.0,0,0,4,8,98077,319.61187214611874
1088000.0,3,2.5,2920,2.0,0,0,3,8,98004,372.6027397260274
290000.0,3,1.0,1210,1.0,0,0,3,7,98058,239.6694214876033
375000.0,3,2.5,2340,1.0,0,0,4,8,98058,160.25641025641025
460000.0,3,1.0,1670,1.5,0,0,4,7,98117,275.4491017964072
188500.0,2,1.75,1240,1.0,0,0,4,8,98198,152.01612903225808
680000.0,4,2.5,3140,2.0,0,0,4,10,98077,216.56050955414014
470000.0,5,1.75,2030,2.0,0,0,4,7,98052,231.5270935960591
597750.0,4,2.5,2310,2.0,0,0,3,8,98027,258.76623376623377
570000.0,3,1.75,1260,1.0,0,0,5,6,98103,452.3809523809524
272500.0,3,1.75,1540,1.0,0,0,4,7,98038,176.94805194805195
329950.0,3,1.75,2080,1.0,0,2,3,7,98108,158.62980769230768
480000.0,4,2.5,3230,2.0,0,3,3,9,98001,148.60681114551085
740500.0,3,3.5,4380,2.0,0,0,3,8,98117,169.06392694063928
518500.0,3,3.5,1590,3.0,0,0,3,8,98103,326.1006289308176
205425.0,2,1.0,880,1.0,0,0,4,6,98178,233.4375
171800.0,4,2.0,1570,1.0,0,0,3,6,98168,109.4267515923567
535000.0,4,1.0,1610,1.5,0,0,4,7,98144,332.29813664596276
660000.0,3,2.5,2400,1.0,0,2,3,8,98177,275.0
391500.0,3,2.0,1450,1.0,0,0,3,7,98034,270.0
395000.0,2,1.0,770,1.0,0,0,3,6,98117,512.987012987013
445000.0,4,1.75,2100,1.5,0,0,5,7,98118,211.9047619047619
770000.0,3,2.25,2910,2.0,0,0,3,9,98052,264.6048109965636
1450000.0,4,2.75,2750,1.5,0,0,3,8,98004,527.2727272727273
445000.0,3,2.25,2100,1.0,0,2,3,8,98178,211.9047619047619
260000.0,4,2.25,2160,1.0,0,0,3,8,98023,120.37037037037037
822500.0,5,3.5,2320,2.0,0,0,5,7,98103,354.5258620689655
430000.0,4,2.5,2070,2.0,0,0,3,7,98065,207.72946859903382
212000.0,3,1.75,1060,1.0,0,0,4,7,98092,200.0
660500.0,4,2.25,2010,1.0,0,0,3,8,98027,328.60696517412936
784000.0,3,3.5,3950,1.5,0,0,3,9,98052,198.48101265822785
453246.0,3,2.5,2010,2.0,0,0,3,8,98029,225.4955223880597
675000.0,4,3.5,2140,3.0,0,0,3,9,98107,315.42056074766356
199000.0,3,1.75,1320,1.0,0,0,4,7,98003,150.75757575757575
220000.0,4,1.75,2020,1.0,0,0,3,7,98003,108.91089108910892
452000.0,4,2.25,2590,1.0,0,0,4,8,98028,174.51737451737452
382500.0,2,1.0,1190,1.0,0,0,3,6,98125,321.42857142857144
519950.0,3,2.25,1170,3.0,0,0,3,8,98107,444.4017094017094
665000.0,2,1.0,1110,1.0,0,0,3,7,98119,599.0990990990991
527700.0,5,2.5,2820,1.0,0,0,4,8,98006,187.12765957446808
205000.0,3,1.0,1610,1.0,0,0,4,7,98058,127.32919254658385
420000.0,3,1.0,1060,1.0,0,0,4,7,98133,396.22641509433964
500000.0,4,2.25,2030,1.0,0,0,4,8,98006,246.30541871921181
921500.0,4,2.5,3670,2.0,0,0,4,9,98077,251.0899182561308
890000.0,4,1.0,2550,2.0,0,0,3,8,98109,349.01960784313724
430000.0,2,2.5,2420,2.0,0,0,3,7,98027,177.68595041322314
258000.0,5,2.0,2260,1.0,0,0,4,8,98032,114.15929203539822
511000.0,3,1.0,1430,1.0,0,0,3,7,98103,357.34265734265733
532170.0,3,2.0,1360,2.0,0,0,3,8,98103,391.3014705882353
560000.0,3,1.0,1110,1.5,0,0,3,7,98107,504.5045045045045
282950.0,3,1.0,1250,1.0,0,0,4,7,98003,226.36
350000.0,1,1.0,700,1.0,0,0,3,7,98115,500.0
215000.0,3,1.0,1180,1.0,0,0,4,7,98058,182.20338983050848
650000.0,5,3.5,3960,2.0,0,0,3,9,98056,164.14141414141415
320000.0,4,2.75,2640,1.0,0,0,3,8,98023,121.21212121212122
247000.0,3,2.0,1270,1.5,0,0,3,7,98022,194.48818897637796
320000.0,4,1.75,1760,1.0,0,0,4,8,98059,181.8181818181818
255000.0,5,2.25,2060,1.0,0,0,3,7,98146,123.7864077669903
438000.0,3,1.75,1780,1.0,0,0,3,7,98034,246.06741573033707
900000.0,3,2.5,3400,2.0,0,0,3,10,98075,264.70588235294116
441000.0,3,2.75,1910,1.0,0,0,3,7,98034,230.89005235602093
420000.0,3,2.0,2020,1.0,0,0,4,7,98027,207.92079207920793
370000.0,3,1.75,1580,1.0,0,0,3,7,98034,234.1772151898734
269950.0,2,1.75,1340,1.0,0,0,5,5,98198,201.455223880597
807100.0,4,2.5,2680,2.0,0,0,3,9,98006,301.15671641791045
653000.0,3,2.5,2680,1.0,0,0,4,8,98034,243.65671641791045
371500.0,3,2.0,1370,1.0,0,0,5,7,98133,271.1678832116788
284000.0,3,1.75,1560,1.0,0,0,3,7,98166,182.05128205128204
272000.0,3,1.75,2160,1.0,0,0,4,7,98023,125.92592592592592
313000.0,3,1.5,1340,1.5,0,0,3,7,98133,233.5820895522388
917500.0,4,2.5,3880,2.0,0,0,3,10,98033,236.46907216494844
673000.0,4,2.25,2590,2.0,0,0,4,8,98006,259.8455598455598
425000.0,3,2.5,1120,2.0,0,0,3,8,98122,379.4642857142857
399950.0,5,2.75,1970,1.0,0,0,3,7,98144,203.0203045685279
385000.0,3,1.0,1220,1.0,0,0,3,6,98122,315.57377049180326
269950.0,3,1.5,1950,1.0,0,2,4,7,98022,138.43589743589743
330000.0,2,1.0,1350,1.0,0,0,3,7,98177,244.44444444444446
260000.0,3,2.5,1670,2.0,0,0,3,7,98030,155.688622754491
470000.0,4,3.0,2380,1.5,0,0,4,7,98126,197.47899159663865
589000.0,4,3.0,2440,2.0,0,0,5,7,98034,241.39344262295083
163500.0,2,1.5,1050,2.0,0,0,3,7,98038,155.71428571428572
835000.0,4,2.75,3130,2.0,0,0,3,9,98052,266.77316293929715
1095000.0,5,3.0,4090,1.0,0,2,4,10,98033,267.72616136919316
269000.0,4,1.75,1490,1.0,0,0,4,8,98023,180.53691275167785
560000.0,3,2.5,1900,2.0,0,0,3,8,98074,294.7368421052632
615000.0,4,1.0,1330,1.5,0,0,4,6,98103,462.406015037594
585188.0,3,2.25,2230,1.0,0,0,3,8,98052,262.41614349775784
305000.0,3,1.75,1650,1.0,0,0,3,7,98034,184.84848484848484
166950.0,3,1.0,1190,1.0,0,0,3,6,98058,140.2941176470588
799000.0,3,2.5,2140,1.0,0,0,4,8,98040,373.3644859813084
400000.0,3,2.5,2180,1.0,0,0,4,7,98133,183.4862385321101
230000.0,3,1.0,1060,1.0,0,0,3,7,98155,216.9811320754717
256883.0,3,2.5,1690,2.0,0,0,3,8,98023,152.00177514792898
423000.0,4,2.0,1970,1.5,0,0,5,7,98108,214.72081218274113
465000.0,3,2.5,2150,2.0,0,0,3,8,98126,216.27906976744185
440000.0,3,2.5,1910,2.0,0,0,3,7,98024,230.36649214659687
385000.0,3,1.75,1350,1.0,0,0,4,7,98038,285.18518518518516
210000.0,3,1.0,860,1.0,0,0,4,6,98056,244.1860465116279
297000.0,3,2.5,1940,2.0,0,0,3,8,98042,153.09278350515464
470000.0,3,1.0,1010,1.0,0,0,3,7,98107,465.34653465346537
226500.0,3,1.5,1300,1.0,0,0,4,7,98023,174.23076923076923
274250.0,3,1.0,910,1.0,0,0,4,6,98059,301.3736263736264
840000.0,4,1.75,2480,1.0,0,0,4,9,98040,338.7096774193548
677900.0,3,2.5,2440,2.0,0,0,3,8,98052,277.827868852459
425000.0,3,1.0,1010,1.0,0,0,3,7,98116,420.7920792079208
180250.0,2,0.75,900,1.0,0,0,3,6,98166,200.27777777777777
464000.0,6,3.0,2300,2.0,0,0,3,7,98133,201.7391304347826
320000.0,4,2.25,1550,2.0,0,0,3,8,98038,206.4516129032258
625504.0,3,2.25,1270,2.0,0,0,3,8,98105,492.52283464566926
592500.0,4,2.5,2240,1.0,0,0,3,9,98074,264.50892857142856
465000.0,3,2.5,2714,2.0,0,0,3,9,98001,171.33382461311717
477000.0,4,2.75,1720,2.0,0,0,3,8,98118,277.3255813953488
280000.0,2,1.0,850,1.0,0,0,3,6,98168,329.4117647058824
445838.0,3,2.5,2250,2.0,0,0,3,8,98146,198.15022222222223
1072000.0,2,2.25,3900,1.0,0,3,3,8,98144,274.87179487179486
467000.0,2,1.5,1320,1.0,0,0,4,8,98177,353.7878787878788
686000.0,4,2.5,2760,2.0,0,0,3,10,98075,248.55072463768116
279950.0,3,2.0,1750,1.0,0,0,3,7,98198,159.97142857142856
527000.0,4,2.25,2330,2.0,0,0,3,8,98011,226.1802575107296
325000.0,3,2.25,2220,1.0,0,0,4,8,98030,146.3963963963964
328000.0,3,2.25,2020,2.0,0,0,3,7,98038,162.37623762376236
390000.0,3,2.25,1250,1.0,0,0,5,7,98146,312.0
479950.0,2,2.0,1510,1.0,0,0,3,8,98053,317.8476821192053
264950.0,4,2.25,1720,1.0,0,0,4,7,98023,154.0406976744186
235000.0,3,1.0,1430,1.0,0,0,4,7,98031,164.33566433566435
516500.0,3,2.5,1480,2.0,0,0,3,7,98053,348.9864864864865
655000.0,2,1.75,1450,2.0,1,4,3,7,98166,451.7241379310345
500000.0,4,2.75,2280,1.0,0,0,5,7,98059,219.2982456140351
315000.0,6,2.75,2940,1.0,0,0,3,8,98023,107.14285714285714
213000.0,2,1.0,1000,1.0,0,0,3,6,98024,213.0
475000.0,3,1.5,2480,1.5,0,0,5,7,98108,191.53225806451613
1025000.0,5,4.0,3760,2.0,0,0,3,10,98033,272.6063829787234
416000.0,3,2.0,2220,1.0,0,0,5,7,98010,187.38738738738738
410000.0,4,1.0,1970,1.5,0,0,3,7,98122,208.12182741116752
800000.0,3,3.5,3830,2.0,0,0,3,10,98077,208.87728459530027
472000.0,6,2.5,4410,1.0,0,2,4,9,98003,107.02947845804988
225000.0,3,1.75,1430,1.0,0,0,4,7,98003,157.34265734265733
210000.0,2,1.0,830,1.0,0,0,3,6,98126,253.0120481927711
455000.0,2,1.0,1430,1.5,0,0,2,7,98115,318.1818181818182
225000.0,3,1.0,1300,1.0,0,0,4,6,98002,173.07692307692307
480000.0,2,1.0,1030,1.0,0,2,4,7,98103,466.0194174757282
363000.0,3,2.5,2740,2.0,0,0,3,9,98023,132.4817518248175
181000.0,2,1.5,720,1.0,0,0,3,6,98106,251.38888888888889
250000.0,4,2.0,2010,1.0,0,0,4,7,98002,124.37810945273633
481000.0,3,1.75,1560,1.0,0,0,4,6,98103,308.3333333333333
260000.0,3,2.0,1810,1.0,0,0,4,7,98032,143.646408839779
455000.0,4,2.5,3360,2.0,0,0,3,9,98058,135.41666666666666
415000.0,3,2.25,1510,2.0,0,0,3,8,98045,274.8344370860927
349500.0,3,1.0,1400,1.0,0,0,3,7,98118,249.64285714285714
245000.0,3,2.5,1730,2.0,0,0,3,7,98030,141.6184971098266
592500.0,2,2.0,1420,1.5,0,2,5,7,98115,417.2535211267606
385000.0,4,1.75,2360,1.0,0,0,4,7,98106,163.135593220339
315000.0,3,1.75,1580,1.0,0,0,4,7,98059,199.36708860759492
255000.0,3,1.0,1230,1.0,0,0,3,7,98045,207.3170731707317
693000.0,4,2.5,2460,2.0,0,0,3,8,98052,281.7073170731707
780000.0,3,1.0,1660,1.5,0,0,3,8,98112,469.87951807228916
237000.0,3,1.75,1270,1.0,0,0,4,7,98198,186.61417322834646
525000.0,3,2.25,2100,2.0,0,0,3,10,98074,250.0
425000.0,2,1.0,770,1.0,0,0,3,5,98144,551.9480519480519
369900.0,1,0.75,760,1.0,1,4,5,5,98070,486.7105263157895
290000.0,4,2.5,1700,2.0,0,0,4,7,98031,170.58823529411765
285000.0,3,1.0,1120,1.0,0,0,3,7,98106,254.46428571428572
415000.0,2,1.0,1070,1.0,0,0,3,7,98115,387.85046728971963
272500.0,3,2.5,2070,1.0,0,0,3,8,98023,131.6425120772947
1365000.0,4,4.75,5310,2.0,0,0,4,11,98077,257.0621468926554
436000.0,2,1.0,1040,1.0,0,0,4,7,98133,419.2307692307692
210000.0,3,1.0,1700,1.0,0,0,4,7,98003,123.52941176470588
236000.0,3,1.0,1300,1.0,0,0,3,7,98178,181.53846153846155
331000.0,3,1.75,1080,1.0,0,0,3,7,98199,306.48148148148147
365000.0,3,2.5,2653,2.0,0,0,3,8,98031,137.5800980022616
450000.0,3,2.0,2290,1.0,0,0,5,8,98058,196.5065502183406
770000.0,4,2.75,3820,2.0,0,0,3,9,98028,201.57068062827224
455000.0,4,2.5,2210,1.0,0,0,3,8,98038,205.88235294117646
405000.0,3,1.75,2390,1.0,0,0,3,6,98118,169.4560669456067
304900.0,4,1.75,2600,1.0,0,0,4,7,98031,117.26923076923077
170000.0,2,1.0,860,1.0,0,0,3,6,98178,197.67441860465115
780000.0,4,2.5,3500,2.0,0,0,3,9,98053,222.85714285714286
330000.0,3,3.0,2420,1.0,0,0,4,8,98028,136.36363636363637
370000.0,4,2.5,2720,2.0,0,0,3,9,98030,136.02941176470588
467000.0,5,2.25,2500,1.0,0,0,3,7,98072,186.8
405000.0,3,1.75,1670,1.0,0,0,3,7,98034,242.51497005988023
675000.0,5,2.25,2900,1.0,0,0,3,8,98006,232.75862068965517
500000.0,2,1.0,1640,1.0,0,0,4,7,98006,304.8780487804878
389999.0,4,2.5,1890,2.0,0,0,4,7,98166,206.34867724867726
630000.0,4,1.75,2950,1.0,0,2,4,8,98034,213.5593220338983
360000.0,4,2.5,2160,2.0,0,0,3,9,98001,166.66666666666666
580000.0,4,3.0,3280,2.0,0,0,3,8,98056,176.82926829268294
550000.0,3,2.0,1970,2.0,0,3,5,8,98126,279.18781725888323
879000.0,4,2.5,3360,2.0,0,0,3,10,98075,261.60714285714283
265000.0,3,2.0,1320,1.0,0,0,3,7,98042,200.75757575757575
446500.0,3,2.5,2650,2.0,0,0,3,8,98059,168.49056603773585
404000.0,3,1.5,2030,1.0,0,0,3,7,98108,199.01477832512316
267500.0,3,1.75,1590,1.0,0,2,3,7,98188,168.23899371069183
335000.0,3,2.5,2440,2.0,0,0,3,8,98003,137.29508196721312
576000.0,3,2.5,1940,1.0,0,0,4,7,98117,296.9072164948454
208633.0,3,2.5,2040,2.0,0,0,3,8,98038,102.27107843137254
315000.0,3,2.25,2200,1.0,0,0,4,7,98166,143.1818181818182
725000.0,3,1.75,1920,1.0,0,0,4,8,98112,377.6041666666667
550000.0,4,2.75,1800,1.0,0,0,4,8,98177,305.55555555555554
610750.0,4,2.25,2180,2.0,0,0,3,8,98074,280.1605504587156
550700.0,2,1.0,1010,1.5,0,0,4,6,98105,545.2475247524752
665000.0,4,2.75,3320,2.0,0,0,5,8,98056,200.3012048192771
834000.0,4,2.5,2370,1.5,0,2,5,8,98144,351.8987341772152
201000.0,5,1.75,1660,1.5,0,0,3,6,98065,121.08433734939759
1384000.0,4,3.25,4290,1.0,0,3,3,11,98006,322.61072261072263
1400000.0,4,3.25,4290,1.0,0,3,3,11,98006,326.3403263403263
305000.0,4,2.25,1950,1.0,0,0,3,8,98058,156.4102564102564
487000.0,3,2.0,2590,1.0,0,0,5,8,98133,188.03088803088804
390000.0,3,2.5,1930,1.0,0,0,4,8,98042,202.07253886010363
548000.0,2,1.0,1470,1.0,0,0,4,7,98103,372.7891156462585
268750.0,4,1.0,800,1.0,0,0,3,6,98166,335.9375
819900.0,5,2.75,3150,2.0,0,0,3,9,98052,260.2857142857143
520000.0,3,2.25,2030,2.0,0,0,3,8,98027,256.1576354679803
230000.0,3,2.0,1450,1.0,0,0,3,7,98001,158.6206896551724
240000.0,3,1.75,1510,1.0,0,0,3,7,98023,158.94039735099338
232000.0,2,1.0,1240,1.0,0,0,3,6,98146,187.09677419354838
240500.0,2,1.0,1240,1.0,0,0,3,6,98146,193.9516129032258
274975.0,3,2.5,3030,2.0,0,0,3,9,98077,90.75082508250826
740000.0,4,2.0,2050,1.5,0,0,4,9,98102,360.9756097560976
186375.0,3,1.0,1000,1.0,0,0,2,7,98166,186.375
790000.0,3,2.25,2370,1.0,0,0,4,9,98005,333.3333333333333
880000.0,4,3.5,2800,2.0,0,0,3,9,98105,314.2857142857143
279000.0,6,1.75,2240,2.0,0,0,4,7,98198,124.55357142857143
295000.0,3,2.0,1810,1.0,0,2,3,8,98022,162.98342541436463
640000.0,2,1.0,1070,1.0,0,0,3,7,98103,598.1308411214953
940000.0,4,2.0,2490,2.0,0,0,5,9,98040,377.5100401606426
260000.0,4,2.5,1960,2.0,0,0,3,7,98038,132.6530612244898
559900.0,3,2.75,2930,1.0,0,0,3,9,98072,191.09215017064847
791500.0,4,2.0,1510,1.5,0,0,5,7,98103,524.1721854304636
265000.0,3,1.75,1420,1.0,0,0,3,7,98133,186.61971830985917
245000.0,3,1.75,1740,1.0,0,0,3,7,98178,140.80459770114942
485000.0,4,1.75,2560,2.0,0,0,4,7,98052,189.453125
684000.0,4,3.5,3040,2.0,0,0,3,9,98059,225.0
425000.0,3,1.75,2500,1.0,0,0,3,8,98125,170.0
309600.0,4,1.75,1275,1.0,0,0,4,6,98070,242.8235294117647
552250.0,4,2.5,2580,2.0,0,0,3,8,98065,214.0503875968992
165000.0,4,1.0,1000,1.0,0,0,3,6,98178,165.0
239900.0,4,1.0,1000,1.0,0,0,3,6,98178,239.9
320000.0,2,1.0,1070,1.0,0,0,4,6,98059,299.06542056074767
206600.0,3,2.0,1390,1.0,0,0,4,7,98030,148.63309352517985
387000.0,4,1.75,2500,1.0,0,0,3,7,98155,154.8
299000.0,1,0.75,560,1.0,0,0,3,4,98014,533.9285714285714
855000.0,4,2.75,2270,2.0,0,0,3,9,98040,376.6519823788546
315000.0,3,1.0,1900,1.0,0,0,4,7,98166,165.78947368421052
437500.0,2,1.0,990,1.0,0,2,5,7,98103,441.9191919191919
252000.0,4,1.5,1550,1.0,0,0,4,7,98001,162.58064516129033
375000.0,4,1.75,2200,1.0,0,0,5,7,98118,170.45454545454547
300000.0,4,2.5,1910,2.0,0,0,3,7,98038,157.06806282722513
420000.0,4,1.0,1750,1.5,0,0,4,7,98006,240.0
900000.0,3,1.0,1330,1.0,0,0,3,7,98033,676.6917293233083
679900.0,3,2.5,2440,2.0,0,2,3,9,98116,278.6475409836066
463000.0,3,2.5,1640,2.0,0,0,3,7,98053,282.3170731707317
380000.0,5,2.5,2760,2.0,0,0,4,9,98059,137.68115942028984
329500.0,4,2.5,1820,2.0,0,0,3,7,98038,181.04395604395606
604950.0,3,2.5,2110,1.0,0,0,3,8,98033,286.70616113744074
795000.0,5,2.5,3040,1.0,0,2,4,8,98006,261.5131578947368
465000.0,3,2.0,1840,2.0,0,0,3,7,98045,252.7173913043478
673000.0,4,2.5,2990,2.0,0,0,3,9,98166,225.08361204013377
810000.0,4,2.5,3520,2.0,0,0,3,10,98074,230.11363636363637
785000.0,4,2.75,2440,1.0,0,0,4,8,98075,321.72131147540983
338000.0,4,3.0,2090,1.0,0,0,3,7,98056,161.7224880382775
280000.0,3,2.25,1430,2.0,0,0,3,7,98056,195.8041958041958
315000.0,4,2.25,2180,1.0,0,0,5,7,98133,144.4954128440367
530000.0,4,2.25,2180,1.0,0,0,5,7,98133,243.11926605504587
380000.0,5,3.0,3450,2.0,0,0,3,9,98023,110.14492753623189
297000.0,3,2.25,1450,2.0,0,0,3,7,98056,204.82758620689654
730000.0,4,2.5,3230,2.0,0,0,3,10,98075,226.0061919504644
450000.0,3,1.75,1640,1.0,0,0,3,7,98125,274.390243902439
275000.0,3,3.0,1590,1.0,0,0,3,7,98038,172.9559748427673
595000.0,4,2.0,2020,2.0,0,0,3,7,98115,294.55445544554453
435000.0,3,1.5,1300,1.5,0,0,3,7,98144,334.61538461538464
270000.0,2,1.5,1380,1.0,0,0,1,6,98011,195.65217391304347
950000.0,3,3.0,4040,2.0,0,0,3,10,98077,235.14851485148515
389000.0,4,2.25,2130,2.0,0,0,3,7,98019,182.62910798122067
560000.0,4,2.25,2550,1.0,0,0,3,8,98052,219.6078431372549
1350000.0,5,3.5,4800,2.0,0,2,3,11,98006,281.25
799000.0,4,2.25,2510,2.0,0,0,4,8,98040,318.32669322709165
365500.0,3,2.0,1410,1.0,0,0,4,7,98072,259.21985815602835
